beats
B A B A C#

C# C# C# C#

B A B C# C# B B

A G# F# F# F# G#

A F# F# F# G# A F#

F# G# A F# F# F# F#

A B B A G# F# F# F#

G# A F# F# F# G#

A F# F# G# A F# F#

F# C# C# C# C# B A

B C# C# B A B A C#

C# C# C# C# B A B C#

C# B B A G# F# F#

F# G# A F# F# F#

G# A F# F#

G# A F# F# F# F#

A B B A G# F# F# F#

G# A F# F# F# G#

A F# F# G# A

F# F# F# E
